"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_get_expense_history_returns_none_when_database_error_occurs","tests.dao","2026-07-28","passed","2026-07-28","","test_expense_dao","",""
"","1","test_delete_success","tests","2026-07-28","passed","2026-07-28","","test_expense_service","",""
"","0","test_edit_zero_amount_is_valid","tests","2026-07-28","passed","2026-07-28","","test_expense_service","",""
"","0","test_get_expense_history_returns_approved_expenses","tests.integration","2026-07-28","passed","2026-07-28","","test_expense_dao_integration","",""
"","1","test_get_expense_by_status_returns_empty_list_when_no_match","tests.integration","2026-07-28","passed","2026-07-28","","test_expense_dao_integration","",""
"","1","test_find_user_by_username_returns_user","tests.dao","2026-07-28","passed","2026-07-28","","test_user_dao","",""
"","0","test_get_expense_by_status_returns_matching_expenses","tests.dao","2026-07-28","passed","2026-07-28","","test_expense_dao","",""
"","1","test_edit_expense_returns_false_when_expense_belongs_to_another_user","tests.integration","2026-07-28","passed","2026-07-28","","test_expense_dao_integration","",""
"","1","test_submit_happy_path","tests","2026-07-28","passed","2026-07-28","","test_expense_service","",""
"","0","test_get_my_expenses_no_status","tests","2026-07-28","passed","2026-07-28","","test_expense_service","",""
"","0","test_find_user_by_id_returns_none_when_user_doesnt_exist","tests.dao","2026-07-28","passed","2026-07-28","","test_user_dao","",""
"","1","test_edit_expense_updates_pending_expense","tests.dao","2026-07-28","passed","2026-07-28","","test_expense_dao","",""
"","1","test_submit_negative_amount_rejected","tests","2026-07-28","passed","2026-07-28","","test_expense_service","",""
"","0","test_get_expense_history_returns_completed_expenses","tests.dao","2026-07-28","passed","2026-07-28","","test_expense_dao","",""
"","1","test_get_expense_by_status_returns_empty_list","tests.dao","2026-07-28","passed","2026-07-28","","test_expense_dao","",""
"","0","test_get_expenses_returns_all_expenses_for_user","tests.integration","2026-07-28","passed","2026-07-28","","test_expense_dao_integration","",""
"","1","test_get_expense_by_status_returns_none_when_database_error_occurs","tests.dao","2026-07-28","passed","2026-07-28","","test_expense_dao","",""
"","0","test_find_user_by_id_returns_existing_user","tests.integration","2026-07-28","passed","2026-07-28","","test_user_dao_integration","",""
"","1","test_get_expense_by_status_returns_pending_expenses","tests.integration","2026-07-28","passed","2026-07-28","","test_expense_dao_integration","",""
"","1","test_submit_new_expense_creates_expense_and_approval","tests.integration","2026-07-28","passed","2026-07-28","","test_expense_dao_integration","",""
"","0","test_get_expense_history_returns_denied_expenses","tests.integration","2026-07-28","passed","2026-07-28","","test_expense_dao_integration","",""
"","0","test_edit_negative_amount_rejected","tests","2026-07-28","passed","2026-07-28","","test_expense_service","",""
"","1","test_get_expense_by_status_returns_approved_expenses","tests.integration","2026-07-28","passed","2026-07-28","","test_expense_dao_integration","",""
"","1","test_delete_expense_deletes_pending_expense","tests.dao","2026-07-28","passed","2026-07-28","","test_expense_dao","",""
"","1","test_get_expenses_returns_empty_list","tests.dao","2026-07-28","passed","2026-07-28","","test_expense_dao","",""
"","0","test_get_expenses_returns_empty_list_when_user_has_no_expenses","tests.integration","2026-07-28","passed","2026-07-28","","test_expense_dao_integration","",""
"","1","test_delete_expense_returns_false_when_expense_not_found","tests.dao","2026-07-28","passed","2026-07-28","","test_expense_dao","",""
"","1","test_delete_expense_returns_false_when_expense_is_approved","tests.integration","2026-07-28","passed","2026-07-28","","test_expense_dao_integration","",""
"","0","test_submit_dao_failure_returns_false","tests","2026-07-28","passed","2026-07-28","","test_expense_service","",""
"","1","test_login_manager_rejected","tests","2026-07-28","passed","2026-07-28","","test_user_service","",""
"","1","test_edit_expense_returns_false_when_expense_does_not_exist","tests.integration","2026-07-28","passed","2026-07-28","","test_expense_dao_integration","",""
"","0","test_edit_expense_returns_false_when_expense_not_found","tests.dao","2026-07-28","passed","2026-07-28","","test_expense_dao","",""
"","0","test_submit_zero_amount_rejected","tests","2026-07-28","passed","2026-07-28","","test_expense_service","",""
"","0","test_submit_empty_description_rejected","tests","2026-07-28","passed","2026-07-28","","test_expense_service","",""
"","1","test_find_user_by_username_returns_none_when_database_error_occurs","tests.dao","2026-07-28","passed","2026-07-28","","test_user_dao","",""
"","1","test_get_expense_history_returns_empty_list_when_no_history_exists","tests.integration","2026-07-28","passed","2026-07-28","","test_expense_dao_integration","",""
"","1","test_submit_new_expense_returns_none_when_user_does_not_exist","tests.integration","2026-07-28","passed","2026-07-28","","test_expense_dao_integration","",""
"","0","test_get_expenses_returns_expenses","tests.dao","2026-07-28","passed","2026-07-28","","test_expense_dao","",""
"","0","test_edit_expense_returns_false_when_expense_not_pending","tests.dao","2026-07-28","passed","2026-07-28","","test_expense_dao","",""
"","0","test_login_happy_path","tests","2026-07-28","passed","2026-07-28","","test_user_service","",""
"","0","test_find_user_by_username_returns_none_when_user_does_not_exist","tests.integration","2026-07-28","passed","2026-07-28","","test_user_dao_integration","",""
"","1","test_delete_expense_returns_none_when_database_error_occurs","tests.dao","2026-07-28","passed","2026-07-28","","test_expense_dao","",""
"","0","test_find_user_by_username_returns_none_when_user_doesnt_exist","tests.dao","2026-07-28","passed","2026-07-28","","test_user_dao","",""
"","1","test_submit_new_expense_returns_none_when_insert_fails","tests.dao","2026-07-28","passed","2026-07-28","","test_expense_dao","",""
"","1","test_delete_expense_returns_false_when_expense_belongs_to_another_user","tests.integration","2026-07-28","passed","2026-07-28","","test_expense_dao_integration","",""
"","1","test_submit_new_expense_returns_true","tests.dao","2026-07-28","passed","2026-07-28","","test_expense_dao","",""
"","1","test_login_user_not_found_returns_none","tests","2026-07-28","passed","2026-07-28","","test_user_service","",""
"","0","test_get_history_passthrough","tests","2026-07-28","passed","2026-07-28","","test_expense_service","",""
"","1","test_get_expense_by_status_returns_denied_expenses","tests.integration","2026-07-28","passed","2026-07-28","","test_expense_dao_integration","",""
"","1","test_delete_expense_deletes_pending_expense","tests.integration","2026-07-28","passed","2026-07-28","","test_expense_dao_integration","",""
"","1","test_delete_expense_returns_false_when_expense_is_denied","tests.integration","2026-07-28","passed","2026-07-28","","test_expense_dao_integration","",""
"","1","test_delete_expense_returns_false_when_expense_not_pending","tests.dao","2026-07-28","passed","2026-07-28","","test_expense_dao","",""
"","1","test_find_user_by_username_returns_existing_user","tests.integration","2026-07-28","passed","2026-07-28","","test_user_dao_integration","",""
"","0","test_login_none_password_returns_none","tests","2026-07-28","passed","2026-07-28","","test_user_service","",""
"","1","test_submit_non_numeric_amount_returns_none","tests","2026-07-28","passed","2026-07-28","","test_expense_service","",""
"","0","test_edit_expense_returns_false_when_expense_is_approved","tests.integration","2026-07-28","passed","2026-07-28","","test_expense_dao_integration","",""
"","0","test_get_expenses_returns_none_when_database_error_occurs","tests.dao","2026-07-28","passed","2026-07-28","","test_expense_dao","",""
"","1","test_edit_expense_updates_pending_expense","tests.integration","2026-07-28","passed","2026-07-28","","test_expense_dao_integration","",""
"","0","test_login_wrong_password_returns_none","tests","2026-07-28","passed","2026-07-28","","test_user_service","",""
"","1","test_find_user_by_id_returns_none_when_database_error_occurs","tests.dao","2026-07-28","passed","2026-07-28","","test_user_dao","",""
"","1","test_find_user_by_id_returns_none_when_user_does_not_exist","tests.integration","2026-07-28","passed","2026-07-28","","test_user_dao_integration","",""
"","1","test_login_dao_exception_returns_none","tests","2026-07-28","passed","2026-07-28","","test_user_service","",""
"","0","test_find_user_by_id_returns_user","tests.dao","2026-07-28","passed","2026-07-28","","test_user_dao","",""
"","0","test_get_expense_history_returns_empty_list","tests.dao","2026-07-28","passed","2026-07-28","","test_expense_dao","",""
"","0","test_get_my_expenses_with_status","tests","2026-07-28","passed","2026-07-28","","test_expense_service","",""
"","1","test_edit_expense_returns_none_when_database_error_occurs","tests.dao","2026-07-28","passed","2026-07-28","","test_expense_dao","",""
"","0","test_delete_expense_returns_false_when_expense_does_not_exist","tests.integration","2026-07-28","passed","2026-07-28","","test_expense_dao_integration","",""
